#GENE	CONDITION	INHERITANCE	AGE GROUP
RAD51D	Ovarian cancer, familial, susceptibility to	AD	Adult
RAF1	Cardiomyopathy, dilated, 1NN; LEOPARD syndrome 2; Noonan syndrome 5	AD	Pediatric
RAG1	T cell-negative, B cell-negative, natural killer cell-positive severe combined immunodeficiency; Omenn syndrome; Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity; Combined cellular and humoral immune defects with granulomas 	AR	Pediatric
RAG2	Omenn syndrome; Combined cellular and humoral immune defects with granulomas 	AR	Pediatric
RAI1	Smith-Magenis syndrome	AD	N/A
RANBP2	Encephalopathy, acute, infection-induced, 3, susceptibility to 	AD	Pediatric
RAPSN	Myasthenic syndrome, congenital 11, associated with acetylcholine receptor deficiency	AR	Pediatric
RARB	Microphthalmia, syndromic 12	AD/AR	N/A
RARS	Leukodystrophy, hypomyelinating 9	AD	N/A
RARS2	Pontocerebellar hypoplasia, type 6	AR	N/A
RASA1	Capillary malformation-arteriovenous malformation; Parkes Weber syndrome; Spinal arteriovenous anomalies	AD	Pediatric
RASGRP2	Bleeding disorder, platelet-type, 18	AR	Pediatric
RAX	Microphthalmia, isolated 3	AR	N/A
RAX2	Cone-rod dystrophy 11	AD	N/A
RB1	Retinoblastoma	AD	Pediatric
RB1CC1	Schizophrenia	AD	N/A
RBBP8	Seckel syndrome 2; Jawad syndrome	AR	N/A
RBCK1	Polyglucosan body myopathy 1	AR	Pediatric
RBM10	TARP syndrome	XL	N/A
RBM20	Cardiomyopathy, dilated, 1DD	AD	Pediatric
RBM28	Alopecia, neurologic defects, and endocrinopathy syndrome	AR	Pediatric
RBP3	Retinitis pigmentosa 66	AR	N/A
RBP4	Retinol dystrophy, iris coloboma, and comedogenic acne syndrome	AR	N/A
RBPJ	Adams-Oliver syndrome 3	AD	N/A
RD3	Leber congenital amaurosis 12	AR	N/A
RDH11	Microphthalmia, isolated, with coloboma 10; Retinal dystrophy, juvenile cataracts, and short stature syndrome	AD/AR	N/A
RDH12	Leber congenital amaurosis 13; Retinitis pigmentosa 53	AD/AR	N/A
RDH5	Fundus albipunctatus	AR	N/A
RDX	Deafness, autosomal recessive 24	AR	Pediatric
RECQL4	Baller-Gerold syndrome; RAPADILINO syndrome; Rothmund-Thomson syndrome	AR	Pediatric
REEP1	Spastic paraplegia 31; Distal hereditary motor neuronopathy VB 	AD	N/A
REEP2	Spastic paraplegia 72	AD/AR	N/A
RELN	Epilepsy, familial temporal lobe, 7; Lissencephaly 2	AD/AR	N/A
REN	Hyperuricemic nephropathy, familial juvenile 2	AD	Pediatric
RET	Central hypoventilation syndrome, congenital; Multiple endocrine neoplasia, type IIA; Multiple endocrine neoplasia IIB; Medullary thyroid carcinoma, familial; Pheochromocytoma; Hirschsprung disease, susceptibility to 1	AD/AR	Pediatric
RFT1	Congenital disorder of glycosylation, type In	AR	Pediatric
RFX5	Bare lymphocyte syndrome, type II	AR	Pediatric
RFX6	Pancreatic hypoplasia, intestinal atresia, and gallbladder aplasia or hypoplasia, with or without tracheoesophageal fistula; Martinez-Frias syndrome; Mitchell-Riley syndrome	AR	Pediatric
RFXANK	MHC class II deficiency	AR	Pediatric
RFXAP	Bare lymphocyte syndrome, type II	AR	Pediatric
RGR	Retinitis pigmentosa 44	AD/AR	N/A
RGS9	Bradyopsia	AR	N/A
RGS9BP	Bradyopsia	AR	N/A
RHAG	Anemia, hemolytic, Rh-null, regulator type; Anemia, hemolytic,Rh-Mod type	AR/BG	Pediatric
RHBDF2	Tylosis with esophageal cancer	AD	Adult
RHCE	Rhesus blood group	BG	Pediatric
RHO	Retinitis pigmentosa 4; Retinitis punctata albescens; Night blindness, congenital stationary, autosomal dominant 1	AD/AR	N/A
RIMS1	Cone-rod dystrophy 7	AD	N/A
RIN2	Macrocephaly, alopecia, cutis laxa, and scoliosis	AR	N/A
RIPK4	Popliteal pterygium syndrome, lethal type; Bartsocas-Papas syndrome 	AR	N/A
RIPPLY2	Spondylocostal dysostosis, autosomal recessive 6	AR	N/A
RIT1	Noonan syndrome 8	AD	Pediatric
RLBP1	Newfoundland rod-cone dystrophy; Bothnia retinal dystrophy; Retinitis punctata albescens; Fundus albipunctatus	AR	N/A
RMND1	Combined oxidative phosphorylation deficiency 11	AR	N/A
RMRP	Anauxetic dysplasia; Cartilage-hair hypoplasia; Metaphyseal dysplasia without hypotrichosis	AR	Pediatric
RNASEH1	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive, 2	AR	N/A
RNASEH2A	Aicardi-Goutieres syndrome 4	AR	N/A
RNASEH2B	Aicardi-Goutieres syndrome 2	AR	N/A
RNASEH2C	Aicardi-Goutieres syndrome 3	AR	N/A
RNASEL	Prostate cancer, hereditary, 1	AD	Adult
RNASET2	Leukoencephalopathy, cystic, without megalencephaly	AR	Pediatric
RNF113A	Trichothiodystrophy 5, nonphotosensitive	XL	Pediatric
RNF125	Tenorio syndrome	AD	N/A
RNF135	Macrocephaly, macrosomia, facial dysmorphism syndrome	AD	N/A
RNF139	Renal cell carcinoma, clear cell	AD	Pediatric
RNF168	RIDDLE syndrome	AR	Pediatric
RNF213	Moyamoya disease 2	AD/AR	Adult
RNF216	Cerebellar ataxia and hypogonadotropic hypogonadism (Gordon Holmes syndrome)	AR	Pediatric
RNU4ATAC	Microcephalic osteodysplastic primordial dwarfism, type I (Taybi-Linder syndrome)	AR	N/A
ROBO2	Congenital anomalies of the kidney and urinary tract	AD	Pediatric
ROBO3	Gaze palsy, horizontal, with progressive scoliosis	AR	N/A
ROGDI	Kohlschutter-Tonz syndrome	AR	N/A
ROM1	Retinitis pigmentosa 7, digenic	Digenic	N/A
ROR2	Robinow syndrome, autosomal recessive; Brachydactyly, type B1	AD/AR	N/A
RORC	Immunodeficiency 42	AR	Pediatric
RP1	Retinitis pigmentosa 1, autosomal dominant; Retinitis pigmentosa 1, autosomal recessive	AD/AR	N/A
RP1L1	Occult macular dystrophy; Retinitis pigmentosa, autosomal recessive	AD/AR	N/A
RP2	Retinitis pigmentosa 2	XL	N/A
RP9	Retinitis pigmentosa 9	AD	N/A
RPE65	Retinitis pigmentosa 20; Leber congenital amaurosis 2	AR	N/A
RPGR	Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness	XL	Pediatric
RPGRIP1	Leber congenital amaurosis 6; Cone-rod dystrophy 13	AR	N/A
RPGRIP1L	Meckel syndrome 5; Joubert syndrome 7; COACH syndrome; Retinal degeneration in ciliopathy, modifier of	AD/AR	N/A
RPIA	Ribose 5-phosphate isomerase deficiency	AR	N/A
RPL11	Diamond-Blackfan anemia 7	AD	Pediatric
RPL15	Diamond-Blackfan anemia 12	AD	Pediatric
RPL21	Hypotrichosis 12	AD	N/A
RPL26	Diamond-Blackfan anemia 11	AD	Pediatric
RPL35A	Diamond-Blackfan anemia 5	AD	Pediatric
RPL5	Diamond-Blackfan anemia 6	AD	Pediatric
RPS10	Diamond-Blackfan anemia 9	AD	Pediatric
RPS17	Diamond-Blackfan anemia 4	AD	Pediatric
RPS19	Diamond-Blackfan anemia 1	AD	Pediatric
RPS24	Diamond-Blackfan anemia 3	AD	Pediatric
RPS26	Diamond-Blackfan anemia 10	AD	Pediatric
RPS28	Diamond-Blackfan anemia 15 with mandibulofacial dysostosis	AD	Pediatric
RPS29	Diamond-Blackfan anemia 13	AD	Pediatric
RPS6KA3	Coffin-Lowry syndrome; Mental retardation, X-linked 19	XL	Pediatric
RPS7	Diamond-Blackfan anemia 8	AD	Pediatric
RPSA	Asplenia, isolated congenital	AD	Pediatric
RRM2B	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5; Mitochondrial DNA depletion syndrome 8A; Mitochondrial DNA depletion syndrome 8B	AD/AR	N/A
RS1	Retinoschisis 1, X-linked, juvenile	XL	N/A
RSPH1	Ciliary dyskinesia, primary, 24	AR	Pediatric
RSPH3	Ciliary dyskinesia, primary, 32	AR	Pediatric
RSPH4A	Ciliary dyskinesia, primary, 11	AR	Pediatric
RSPH9	Ciliary dyskinesia, primary, 12	AR	Pediatric
RSPO1	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and 46,XX sex reversal	AR	Adult
RSPO4	Anonychia/hyponychia congenita	AR	N/A
RTEL1	Pulmonary fibrosis and/or bone marrow failure, telomere-related 3; Dyskeratosis congenita, autosomal dominant 4; Dyskeratosis congenita, autosomal recessive 5	AD/AR	Pediatric
RTN2	Spastic paraplegia 12, autosomal dominant	AD	N/A
RTTN	Polymicrogyria with seizures	AR	N/A
RUBCN	Spinocerebellar ataxia 15	AR	N/A
RUNX1	Platelet disorder, familial, with associated myeloid malignancy	AD	Pediatric
RUNX2	Cleidocranial dysplasia; Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly	AD	N/A
RXFP2	Cryptorchidism	AD	N/A
RYR1	Malignant hyperthermia, susceptibility 1; Central core disease; Minicore myopathy; Multicore myopathy; Minicore myopathy with external ophthalmoplegia; Centronuclear myopathy (individuals with these conditions may also be at risk of malignant hyperthermia)	AD/AR	Pediatric
RYR2	Ventricular tachycardia, catecholaminergic polymorphic, 1; Arrhythmogenic right ventricular dysplasia 2  	AD	Pediatric
SACS	Spastic ataxia, Charlevoix-Saguenay type	AR	N/A
SAG	Retinitis pigmentosa 47; Oguchi disease 1	AR	N/A
SALL1	Townes-Brocks syndrome	AD	Pediatric
SALL2	Ocular coloboma	AR	N/A
SALL4	Duane-radial ray/Okohiro syndrome; Acro-Renal-Ocular syndrome	AD	Pediatric
SAMD9	Tumoral calcinosis, normophosphatemic	AR	Pediatric
SAMHD1	Aicardi-Goutieres syndrome 5	AR	Pediatric
SAR1B	Chylomicron retention disease (Anderson disease)	AR	Pediatric
SARS2	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis	AR	N/A
SART3	Porokeratosis, disseminated superficial actinic, 1	AD	N/A
SASS6	Microcephaly 14, primary, autosomal recessive	AR	N/A
SATB2	Glass syndrome	AD	N/A
SBDS	Shwachman-Diamond syndrome; Aplastic anemia	AD/AR	Pediatric
SBF1	Charcot-Marie-Tooth disease, type 4B3	AR	N/A
SBF2	Charcot-Marie-Tooth disease, type 4B2 with early-onset glaucoma	AR	Pediatric
SC5D	Lathosterolosis	AR	N/A
SCARB2	Epilepsy, progressive myoclonic 4, with or without renal failure	AR	N/A
SCARF2	Van den Ende-Gupta syndrome	AR	N/A
SCN11A	Episodic pain syndrome, familial, 3	AD	N/A
SCN1A	Migraine, familial hemiplegic 3	AD	Pediatric
SCN1B	Atrial fibrillation, familial 13; Brugada syndrome 5	AD	Pediatric
SCN2A	Epileptic encephalopathy, early infantile, 11; Seizures, benign familial infantile, 3	AD	N/A
SCN2B	Atrial fibrillation, familial 14	AD	Adult
SCN3B	Brugada syndrome 7; Atrial fibrillation, familial 16	AD	Adult
SCN4A	Paramyotonia congenita; Hyperkalemic periodic paralysis, type 2; Hypokalemic periodic paralysis, type 2; Normokalemic potassium-sensitive periodic paralysis; Malignant hyperthermia, susceptibility to; Myasthenic syndrome, congenital, 16; Myotonia, potassium-aggravated	AD/AR	Pediatric
SCN4B	Long QT syndrome 10; Atrial fibrilliation, familial 17	AD	Pediatric
SCN5A	Atrial fibrillation, familial 10; Long QT syndrome 3; Idiopathic ventricular fibrillation; Heart block, progressive, type IA; Heart block, nonprogressive; Sick sinus syndrome 1, autosomal recessive; Cardiomyopathy, dilated, 1E; Brugada syndrome 1; Ventricular fibrillation, familial 1	AD/AR/Digenic	Pediatric
SCN8A	Cognitive impairment with or without cerebellar ataxia; Epileptic encephalopathy, early infantile, 13	AD	N/A
SCN9A	Paroxysmal extreme pain disorder	AD/AR	Pediatric
SCNN1A	Pseudohypoaldosteronism, type I; Bronchiectasis with or without elevated sweat chloride 2	AR/Digenic (with CFTR or other SCCN1 genes)	Pediatric
SCNN1B	Pseudohypoaldosteronism, type I; Liddle syndrome; Bronchiectasis with or without elevated sweat chloride 3	AR/Digenic (with CFTR or other SCCN1 genes)	Pediatric
SCNN1G	Pseudohypoaldosteronism, type I; Liddle syndrome; Bronchiectasis with or without elevated sweat chloride 3	AR/Digenic (with CFTR or other SCCN1 genes)	Pediatric
SCO1	Mitochondrial complex IV deficiency	AR	N/A
SCO2	Myopia 6; Leigh syndrome; Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1; Hypertrophic cardiomyopathy	AD/AR	N/A
SCP2	Leukoencephalopathy with dystonia and motor neuropathy	AR	N/A
SDCCAG8	Bardet-Biedl syndrome 16; Senior-Loken syndrome 7	AR	N/A
SDHA	Paragangliomas 5; Gastrointestinal stromal tumors; Cardiomyopathy, dilated, 1GG; Leigh syndrome/Mitochondrial respiratory chain complex II deficiency	AD/AR	Adult (Paragangliomas 5; Gastrointestinal stromal tumors); Pediatric (Cardiomyopathy, dilated, 1GG; Leigh syndrome/Mitochondrial respiratory chain complex II deficiency)
SDHAF1	Mitochondrial complex II deficiency	AR	Pediatric
SDHAF2	Paragangliomas 2	AD	Pediatric
SDHB	Cowden-like syndrome; Paraganglioma and gastric stromal sarcoma; Gastrointestinal stromal tumor; Pheochromocytoma; Paragangliomas 4	AD	Pediatric
SDHC	Paraganglioma and gastric stromal sarcoma; Gastrointestinal stromal tumor; Paragangliomas 3	AD	Pediatric
SDHD	Cowden syndrome 3; Paraganglioma and gastric stromal sarcoma; Pheochromocytoma; Paragangliomas; Carcinoid tumors, intestinal	AD	Pediatric
SEC23A	Craniolenticulosutural dysplasia	AR	N/A
SEC23B	Anemia, dyserythropoietic congenital, type II	AR	Pediatric
SEC63	Polycystic liver disease	AD	N/A
SECISBP2	Selenoprotein deficiency	AR	N/A
SEMA3A	Hypogonadotropic hypogonadism 16 with or without anosmia	AD	Pediatric
SEMA3E	CHARGE syndrome	AD	N/A
SEMA4A	Cone-rod dystrophy 10; Retinitis pigmentosa 35	AR	N/A
SEMA7A	Blood group, John Milton Hagen	AD	Pediatric
SEPN1	Muscular dystrophy, rigid spine, 1; Myopathy, congenital, with fiber-type disproportion	AR	N/A
SEPSECS	Pontocerebellar hypoplasia, type 2D	AR	N/A
SEPT12	Spermatogenic failure 10	AD	N/A
SEPT9	Amyotrophy, hereditary neuralgic	AD	N/A
SERAC1	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome 	AR	N/A
SERPINA1	Alpha-1-Antitrypsin deficiency	AR	Pediatric
SERPINA6	Corticosteroid-binding globulin deficiency	AD/AR	N/A
SERPINA7	Thyroxine-binding globulin deficiency; Thyroxine-binding globulin excess	XL	N/A
SERPINB6	Deafness, autosomal recessive 91	AR	N/A
SERPINB7	Palmoplantar keratoderma, Nagashima type	AR	N/A
SERPINC1	Antithrombin III deficiency	AD/AR	Pediatric
SERPIND1	Heparin cofactor II deficiency	AD	N/A
SERPINE1	Plasminogen activator inhibitor-1 deficiency	AR	Pediatric
SERPINF1	Osteogenesis imperfecta, type VI	AR	N/A
SERPINF2	Alpha-2-plasmin inhibitor deficiency	AD/AR	Pediatric
SERPING1	Angioedema, hereditary	AD/AR	Pediatric
SERPINH1	Osteogenesis imperfecta, type X	AR	N/A
SERPINI1	Encephalopathy, familial, with neuroserpin inclusion bodies	AD	N/A
SETBP1	Mental retardation, autosomal dominant 29; Schinzel-Giedion midface retraction syndrome	AD	N/A
SETD5	Mental retardation, autosomal dominant 23	AD	N/A
SETX	Spinocerebellar ataxia, autosomal recessive 1; Amyotrophic lateral sclerosis 4, juvenile; Ataxia with oculomotor apraxia, type 2 	AD/AR	N/A
SF3B4	Acrofacial dysostosis 1, Nager type	AD	N/A
SFTPA2	Pulmonary fibrosis, idiopathic	AD	Pediatric
SFTPB	Surfactant metabolism dysfunction, pulmonary 1	AR	Pediatric
SFTPC	Surfactant metabolism dysfunction, pulmonary, 2	AD	Pediatric
SFXN4	Combined oxidative phosphorylation deficiency 18	AR	N/A
SGCA	Muscular dystrophy, limb-girdle, type 2D	AR	Pediatric
SGCB	Muscular dystrophy, limb-girdle, type 2E	AR	Pediatric
SGCD	Cardiomyopathy, dilated, 1L; Muscular dystrophy, limb-girdle, type 2F	AR	Pediatric
SGCE	Dystonia 11, myoclonic	AD	N/A
SGCG	Muscular dystrophy, limb-girdle, type 2C	AR	N/A
SGSH	Mucopolysaccharidosis type IIIA (Sanfilippo syndrome A)	AR	N/A
SH2D1A	Lymphoproliferative syndrome, X-linked	XL	Pediatric
SH3BP2	Cherubism	AD	N/A
SH3PXD2B	Frank-ter Haar syndrome	AR	Pediatric
SH3TC2	Charcot-Marie-Tooth disease, type 4C; Mononeuropathy of the median nerve, mild	AR	N/A
SHANK2	Autism, susceptibility to 17	AD	N/A
SHANK3	Phelan-McDermid syndrome; Schizophrenia	AD	N/A
SHH	Holoprosencephaly 3; Microphthalmia with coloboma 5 	AD	N/A
SHOC2	Noonan-like syndrome with loose anagen hair	AD	Pediatric
SHOX	Langer mesomelic dysplasia; Leri-Weill dyschondrosteosis; Short stature, idiopathic familial	XL/PAR	N/A
SHROOM4	Stocco dos Santos X-linked mental retardation syndrome	XL	N/A
SI	Sucrase-isomaltase deficiency, congenital	AR	Pediatric
SIGMAR1	Amyotrophic lateral sclerosis 16, juvenile; Frontotemporal lobar degeneration-motor neuron disease; Spinal muscular atrophy, distal, autosomal recessive, 2	AR	N/A
SIK1	Epileptic encephalopathy, early infantile 30	AD	N/A
SIL1	Marinesco-Sjogren syndrome	AR	N/A
SIX1	Deafness, autosomal dominant 23; Branchiootorenal syndrome 3; Branchiootic syndrome 3	AD	Pediatric
SIX3	Holoprosencephaly	AD	N/A
SIX5	Branchiootorenal syndrome 2	AD	Pediatric
SIX6	Microphthalmia, isolated, with cataract 2; Optic disc anomalies with retinal and/or macular dystrophy	AD	N/A
SKI	Shprintzen-Goldberg syndrome	AD	Pediatric
SKIV2L	Trichohepatoenteric syndrome 2	AR	Pediatric
SLC10A2	Bile acid malabsorption, primary	AD	Pediatric
SLC11A2	Anemia, hypochromic microcytic, with iron overload	AR	Pediatric
SLC12A1	Bartter syndrome, antenatal, type 1	AR	Pediatric
SLC12A3	Gitelman syndrome	AR	Pediatric
SLC12A5	Epileptic encephalopathy, early infantile, 34	AR	N/A
SLC12A6	Agenesis of the corpus callosum with peripheral neuropathy (Andermann syndrome)	AR	N/A
SLC13A5	Epileptic encephalopathy, early infantile 25	AR	N/A
SLC14A1	Blood group, Kidd	BG	Pediatric
SLC16A1	Hyperinsulinemic hypoglycemia, familial, 7; Erythrocyte lactate transporter defect; Monocarboxylate transporter 1 deficiency (AR)	AD/AR	Pediatric (Erythrocyte lactate transporter defect; Monocarboxylate transporter 1 deficiency ); Adult (Hyperinsulinemic hypoglycemia, familial, 7)
SLC16A12	Cataract, juvenile, with microcornea and glucosuria	AD	N/A
SLC16A2	Allan-Herndon-Dudley syndrome	XL	Pediatric
SLC17A5	Infantile sialic acid storage disorder; Sialuria, Finnish type (Salla disease)	AR	N/A
SLC17A8	Deafness, autosomal dominant 25	AD	N/A
SLC17A9	Porokeratosis, disseminated superficial actinic, 8	AD	N/A
SLC19A2	Thiamine-responsive megaloblastic anemia syndrome	AR	Pediatric
SLC19A3	Thiamine metabolism dysfunction syndrome 2 (biotin or thiamine responsive)	AR	Pediatric
SLC1A1	Dicarboxylic aminoaciduria	AR	Adult
SLC1A3	Episodic ataxia, type 6	AD	Pediatric
SLC20A2	Basal ganglia calcification, idiopathic, 1	AD	N/A
SLC22A12	Hypouricemia, renal 1	AR	Pediatric
SLC22A5	Carnitine deficiency, systemic primary	AR	Pediatric
SLC24A1	Night blindness, congenital stationary, type 1D	AR	N/A
SLC24A4	Ameliogenesis imperfecta, hypomaturation type, IIA5	AR	N/A
SLC25A1	Combined D-2- and L-2-hydroxyglutaric aciduria	AR	N/A
SLC25A12	Hypomyelination, global cerebral	AR	N/A
SLC25A13	Citrin deficiency	AR	Pediatric
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome	AR	Pediatric
SLC25A19	Thiamine metabolism dysfunction syndrome 4; Microcephaly, Amish type	AR	N/A
SLC25A20	Carnitine-acylcarnitine translocase deficiency	AR	Pediatric
SLC25A22	Epileptic encephalopathy, early infantile, 3	AR	N/A
SLC25A3	Micochondrial phosphate carrier deficiency	AR	N/A
SLC25A38	Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive	AR	Pediatric
SLC25A4	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 2; Mitochondrial DNA depletion syndrome 12 (cardiomyopathic type)	AD/AR	Pediatric
SLC25A46	Neuropathy, hereditary motor and sensory, type VIB	AR	N/A
SLC26A2	Achondrogenesis, type IB; Atelosteogenesis II; De la Chapelle dysplasia; Diastrophic dysplasia; Epiphyseal dysplasia, multiple, 4	AR	N/A
SLC26A3	Diarrhea 1, secretory chloride, congenital	AR	Pediatric
SLC26A4	Pendred syndrome; Deafness, autosomal recessive 4; Enlarged vestibular aqueduct, digenic 	AR	Pediatric
SLC26A5	Deafness, autosomal recessive 61	AR	Pediatric
SLC26A8	Spermatogenic failure 3	AD	N/A
SLC27A4	Ichthyosis prematurity syndrome	AR	N/A
SLC29A3	Histiocytosis-lymphadenopathy plus syndrome 	AR	Pediatric
SLC2A1	GLUT1 deficiency syndrome 1; GLUT1 deficiency syndrome 2	AD/AR	Pediatric
SLC2A10	Arterial tortuosity syndrome	AR	Pediatric
SLC2A2	Fanconi-Bickel syndrome; Glycogen storage disease XI; Neonatal diabetes mellitus	AR	Pediatric
SLC2A9	Hypouricemia, renal, 2	AD/AR	Pediatric
SLC30A10	Hypermanganesemia with dystonia, polycythemia, and cirrhosis	AR	Pediatric
SLC33A1	Congenital cataracts, hearing loss, and neurodegeneration	AR	Pediatric
SLC34A1	Fanconi renotubular syndrome 2; Nephrolithiasis/osteoporosis, hypophosphatemic, 1 	AR	Pediatric
SLC34A2	Pulmonary alveolar microlithiasis	AR	Pediatric
SLC34A3	Hypophosphatemic rickets with hypercalciuria, hereditary	AR	Pediatric
SLC35A1	Congenital disorder of glycosylation, type IIf	AR	Pediatric
SLC35A2	Congenital disorder of glycosylation, type Iim	XL	Pediatric
SLC35A3	Arthrogryposis, mental retardation, and seizures	AR	N/A
SLC35C1	Congenital disorder of glycosylation, type IIc; Leukocyte adhesion deficiency, type II	AR	Pediatric
SLC35D1	Schneckenbecken dysplasia	AR	N/A
SLC36A2	Hyperglycinuria; Iminoglycinuria; Iminoglycinuria, digenic	AD/AR/Digenic	N/A
SLC37A4	Glycogen storage disease Ib; Glycogen storage disease Ic; Glycogen storage disease Id	AR	Pediatric
SLC38A8	Foveal hypoplasia 2	AR	N/A
SLC39A13	Spondylocheirodysplasia, Ehlers-Danlos syndrome-like	AR	N/A
SLC39A4	Acrodermatitis enteropathica	AR	Pediatric
SLC39A5	Myopia 24	AD	N/A
SLC3A1	Cystinuria	AR	Pediatric
SLC40A1	Hemochromatosis, type 4	AD	Pediatric
SLC41A1	Nephronophthisis-like ciliopathy	AR	Pediatric
SLC45A2	Oculocutaneous albinism, type IV; Skin/hair/eye pigmentation 5	AD/AR	N/A
SLC46A1	Folate malabsorption, hereditary	AR	Pediatric
SLC4A1	Spherocytosis, type 4; Ovalcytosis; Renal tubular acidosis, distal, with hemolytic anemia; Renal tubular acidosis, distal, autosomal dominant; Renal tubular acidosis, distal, autosomal recessive; Blood group, Wright; Blood group, Waldner; Blood group, Diego; Blood group, Froese; Blood group, Swann	AD/AR/BG	Pediatric
SLC4A11	Corneal dystrophy, Fuchs endothelial 4; Corneal endothelial dystrophy 2, autosomal recessive; Corneal endothelial dystrophy and perceptive deafness 	AD/AR	N/A
SLC4A4	Renal tubular acidosis, proximal, with ocular abnormalities and/or migraine	AD/AR	Pediatric
SLC52A1	Maternal riboflavin deficiency	AD	Pediatric
SLC52A2	Brown-Vialetto-Van Laere syndrome 2	AR	Pediatric
SLC52A3	Brown-Vialetto-Van Laere syndrome 1; Fazio-Londe disease	AR	Pediatric
SLC5A1	Glucose/galactose malabsorption	AR	Pediatric
SLC5A2	Renal glucosuria	AD/AR	N/A
SLC5A5	Thyroid dyshormonogenesis 1	AR	Pediatric
SLC6A17	Mental retardation, autosomal recessive 48	AR	N/A
SLC6A19	Hartnup disease	AR	Pediatric
SLC6A2	Orthostatic intolerance	AD	N/A
SLC6A20	Iminoglycinuria, digenic; Hyperglycinuria/Iminoglycinuria, modifier of	AD/Digenic	N/A
SLC6A3	Parkinsonism-dystonia, infantile	AR	N/A
SLC6A5	Hyperekplexia 3	AR	Pediatric
SLC6A8	Creatine deficiency syndrome 1	XL	Pediatric
SLC7A14	Retinitis pigmentosa 68	AR	N/A
SLC7A7	Lysinuric protein intolerance	AR	Pediatric
SLC7A9	Cystinuria	AR	Pediatric
SLC9A1	Spinocerebellar ataxia, autosomal recessive 19 (Lichtenstein-Knorr syndrome)	AR	N/A
SLC9A3R1	Nephrolithiasis/osteoporosis, hypophosphatemic, 2	AD	Adult
SLC9A6	Mental retardation, X-linked syndromic, Christianson type	XL	N/A
SLC9A9	Autism susceptibility 16	AD	N/A
SLCO1B1	Statin-induced myopathy; Hyperbilirubinemia, Rotor type, digenic	AD/Digenic	N/A
SLCO1B3	Hyperbilirubinemia, Rotor type, digenic	Digenic	N/A
SLCO2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2; Primary hypertrophic osteoarthropathy	AD/AR	N/A
SLITRK1	Trichotillomania; Tourette syndrome	AD	N/A
SLITRK6	Deafness and myopia	AR	Pediatric
SLURP1	Mal de Meleda	AD/AR	N/A
SLX4	Fanconi anemia type P	AR	Pediatric
SMAD3	Aneurysms-osteoarthritis syndrome; Loeys-Dietz syndrome, type 3	AD	Pediatric
SMAD4	Hereditary hemorrhagic telangiectasia, type 1; Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome; Polyposis, juvenile intestinal; Myhre syndrome	AD	Pediatric
SMAD6	Aortic valve disease 2	AD	Pediatric
SMAD9	Pulmonary hypertension, primary 2	AD	Pediatric
SMARCA2	Nicolaides-Baraitser syndrome	AD	N/A
SMARCA4	Rhabdoid tumor predisposition syndrome 2	AD	Pediatric
SMARCAD1	Adermatoglyphia	AD	N/A
SMARCAL1	Schimke immunoosseous dysplasia	AR	Pediatric
SMARCB1	Schwannomatosis; Rhabdoid tumor predisposition syndrome	AD	Pediatric
SMARCE1	Meningioma, familial, susceptibility to	AD	Pediatric
SMC1A	Cornelia de Lange syndrome 2	XL	N/A
SMC3	Cornelia de Lange syndrome 3	AD	N/A
SMCHD1	Facioscapulohumeral muscular dystrophy, type 2	Digenic (involving a SMCHD1 mutation and permissive D4Z4 haplotype)	N/A
SMIM1	Blood group, Vel system	BG	Pediatric
SMN1	Spinal muscular atrophy, type I; Spinal muscular atrophy, type II; Spinal muscular atrophy, type III; Spinal muscular atrophy, type IV	AR	N/A
SMN2	Spinal muscular atrophy, modifier of	AD	N/A
SMOC1	Microphthalmia with limb anomalies	AR	N/A
SMOC2	Dentin dysplasia, type I	AR	N/A
SMPD1	Niemann-Pick disease, type A; Niemann-Pick disease, type B	AR	N/A
SMPX	Deafness, X-linked 4	XL	Pediatric
SMS	Mental retardation, X-linked, Snyder-Robinson type	XL	N/A
SNAI2	Waardenburg syndrome, type 2D	AR	Pediatric
SNAP25	Myasthenic syndrome, congenital 18, with intellectual disability and ataxia	AD	N/A
SNAP29	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome (CEDNIK syndrome)	AR	N/A
SNCA	Parkinson disease; Dementia with Lewy bodies	AD	N/A
SNCAIP	Parkinson disease	AD	N/A
SNCB	Dementia with Lewy bodies	AD	N/A
SNIP1	Psychomotor retardation, epilepsy, and craniofacial dysmorphism	AR	N/A
